Time,accX,accY,accZ,DT,Hour
1573584486338.0,2.994011,7.8975563,6.1313396,2019-11-12 12:48:06.338000-06:00,2019-11-12 12:00
1573584486358.0,3.1952312000000003,7.832878,5.2857356,2019-11-12 12:48:06.358000-06:00,2019-11-12 12:00
1573584486379.0,2.8119547000000003,7.519070599999999,5.3096905,2019-11-12 12:48:06.379000-06:00,2019-11-12 12:00
1573584486398.0,2.3208816000000003,7.411274000000001,5.6929669999999994,2019-11-12 12:48:06.398000-06:00,2019-11-12 12:00
1573584486418.0,2.157989,7.4951158,5.841486499999999,2019-11-12 12:48:06.418000-06:00,2019-11-12 12:00
1573584486439.0,1.9447916,7.475952,6.0163565000000006,2019-11-12 12:48:06.439000-06:00,2019-11-12 12:00
1573584486459.0,2.0046785,7.610099000000001,5.9301195,2019-11-12 12:48:06.459000-06:00,2019-11-12 12:00
1573584486479.0,2.0022830000000003,7.600517,5.4414419999999994,2019-11-12 12:48:06.479000-06:00,2019-11-12 12:00
1573584486499.0,1.8681363999999998,7.543025500000001,5.086910700000001,2019-11-12 12:48:06.499000-06:00,2019-11-12 12:00
1573584486519.0,1.4129953000000002,7.602912400000001,4.971928,2019-11-12 12:48:06.519000-06:00,2019-11-12 12:00
1573584486539.0,1.240521,7.7562226999999995,5.2402215,2019-11-12 12:48:06.539000-06:00,2019-11-12 12:00
1573584486559.0,1.3986223999999998,7.689149400000001,5.1539845,2019-11-12 12:48:06.559000-06:00,2019-11-12 12:00
1573584486580.0,1.2309389,7.5526075,4.926414,2019-11-12 12:48:06.580000-06:00,2019-11-12 12:00
1573584486600.0,1.2501028,7.710709,5.122843,2019-11-12 12:48:06.600000-06:00,2019-11-12 12:00
1573584486619.0,1.3267579999999999,7.782573700000001,5.242617,2019-11-12 12:48:06.619000-06:00,2019-11-12 12:00
1573584486640.0,1.4800687,7.787364,4.763521,2019-11-12 12:48:06.640000-06:00,2019-11-12 12:00
1573584486660.0,1.8609498,7.9861889999999995,5.086910700000001,2019-11-12 12:48:06.660000-06:00,2019-11-12 12:00
1573584486679.0,2.287345,8.216155,5.6738029999999995,2019-11-12 12:48:06.679000-06:00,2019-11-12 12:00
1573584486700.0,2.562825,8.3718605,5.9205375,2019-11-12 12:48:06.700000-06:00,2019-11-12 12:00
1573584486720.0,2.5412657000000003,8.223341,5.613916000000001,2019-11-12 12:48:06.720000-06:00,2019-11-12 12:00
1573584486740.0,2.2945312999999996,8.072426,5.302504,2019-11-12 12:48:06.740000-06:00,2019-11-12 12:00
1573584486760.0,2.1388252,8.019726,5.2617807,2019-11-12 12:48:06.760000-06:00,2019-11-12 12:00
1573584486781.0,2.332859,8.21855,5.027024,2019-11-12 12:48:06.781000-06:00,2019-11-12 12:00
1573584486800.0,1.9543736,7.5741663,4.53116,2019-11-12 12:48:06.800000-06:00,2019-11-12 12:00
1573584486821.0,1.1135606000000002,6.690235,3.4100761,2019-11-12 12:48:06.821000-06:00,2019-11-12 12:00
1573584486841.0,1.1926113,7.1190257,3.00524,2019-11-12 12:48:06.841000-06:00,2019-11-12 12:00
1573584486862.0,0.7494478,6.707003599999999,3.2184377,2019-11-12 12:48:06.862000-06:00,2019-11-12 12:00
1573584486881.0,0.32784352,6.589625,3.826889,2019-11-12 12:48:06.881000-06:00,2019-11-12 12:00
1573584486901.0,0.50271344,6.905828,5.338436,2019-11-12 12:48:06.901000-06:00,2019-11-12 12:00
1573584486921.0,0.4667813,6.6758619999999995,5.851068499999999,2019-11-12 12:48:06.921000-06:00,2019-11-12 12:00
1573584486942.0,0.51229537,6.6159754,5.582775,2019-11-12 12:48:06.942000-06:00,2019-11-12 12:00
1573584486962.0,0.37096209999999996,6.0458517,5.417487,2019-11-12 12:48:06.962000-06:00,2019-11-12 12:00
1573584486981.0,0.3182616,7.1932855,5.7815995000000004,2019-11-12 12:48:06.981000-06:00,2019-11-12 12:00
1573584487002.0,0.5626004,7.0064383,6.004379,2019-11-12 12:48:07.002000-06:00,2019-11-12 12:00
1573584487022.0,1.3171761999999998,6.924992,6.667927000000001,2019-11-12 12:48:07.022000-06:00,2019-11-12 12:00
1573584487043.0,1.9998875,7.8759966,7.901598,2019-11-12 12:48:07.043000-06:00,2019-11-12 12:00
1573584487062.0,2.6011527,8.498821000000001,8.718456,2019-11-12 12:48:07.062000-06:00,2019-11-12 12:00
1573584487082.0,2.7424858,8.805442999999999,8.325598,2019-11-12 12:48:07.082000-06:00,2019-11-12 12:00
1573584487103.0,2.5867798,8.520381,7.082344,2019-11-12 12:48:07.103000-06:00,2019-11-12 12:00
1573584487122.0,2.6394804,8.002957,6.193622,2019-11-12 12:48:07.122000-06:00,2019-11-12 12:00
1573584487143.0,2.5819888,7.727477599999999,5.978029,2019-11-12 12:48:07.143000-06:00,2019-11-12 12:00
1573584487163.0,2.3352543999999997,7.7921553,6.013961,2019-11-12 12:48:07.163000-06:00,2019-11-12 12:00
1573584487183.0,2.3663957000000004,6.956133,5.6738029999999995,2019-11-12 12:48:07.183000-06:00,2019-11-12 12:00
1573584487203.0,2.0765429,6.580042999999999,5.206685,2019-11-12 12:48:07.203000-06:00,2019-11-12 12:00
1573584487223.0,1.7291985,6.3357043,5.4701877,2019-11-12 12:48:07.223000-06:00,2019-11-12 12:00
1573584487244.0,1.681289,5.7464166,5.5252833,2019-11-12 12:48:07.244000-06:00,2019-11-12 12:00
1573584487263.0,1.8369951,6.057829,6.56013,2019-11-12 12:48:07.263000-06:00,2019-11-12 12:00
1573584487284.0,2.0454016,6.414755,7.077553699999999,2019-11-12 12:48:07.284000-06:00,2019-11-12 12:00
1573584487304.0,1.5998427,6.340495,6.56013,2019-11-12 12:48:07.304000-06:00,2019-11-12 12:00
1573584487324.0,1.1734474,6.249467,5.7696223,2019-11-12 12:48:07.324000-06:00,2019-11-12 12:00
1573584487345.0,0.9674363000000001,6.1272974,5.343227,2019-11-12 12:48:07.345000-06:00,2019-11-12 12:00
1573584487365.0,0.8189166999999999,6.043456,5.4270687,2019-11-12 12:48:07.365000-06:00,2019-11-12 12:00
1573584487386.0,1.2429163,5.9141,6.43317,2019-11-12 12:48:07.386000-06:00,2019-11-12 12:00
1573584487405.0,2.0454016,6.4387097,7.3506384,2019-11-12 12:48:07.405000-06:00,2019-11-12 12:00
1573584487425.0,2.5987572999999995,6.687839500000001,7.860875,2019-11-12 12:48:07.425000-06:00,2019-11-12 12:00
1573584487445.0,2.7975817000000003,6.6016026,8.351948,2019-11-12 12:48:07.445000-06:00,2019-11-12 12:00
1573584487466.0,3.049107,6.965714999999999,8.481304,2019-11-12 12:48:07.466000-06:00,2019-11-12 12:00
1573584487486.0,3.2910504,6.984878999999999,8.023767,2019-11-12 12:48:07.486000-06:00,2019-11-12 12:00
1573584487506.0,2.934124,6.6806529999999995,7.424898,2019-11-12 12:48:07.506000-06:00,2019-11-12 12:00
1573584487526.0,2.6730169999999998,6.649512,7.2620059999999995,2019-11-12 12:48:07.526000-06:00,2019-11-12 12:00
1573584487546.0,2.6730169999999998,6.8363595,6.9937119999999995,2019-11-12 12:48:07.546000-06:00,2019-11-12 12:00
1573584487567.0,2.6658306,6.9369693,6.617621400000001,2019-11-12 12:48:07.567000-06:00,2019-11-12 12:00
1573584487586.0,2.6251075,6.8962460000000005,6.378074,2019-11-12 12:48:07.586000-06:00,2019-11-12 12:00
